# 2026-08-26 조사 관점이 낸 신규 기관 229곳
# 소스: docs/데이터/청소년상담복지센터.csv (공공데이터포털) 223곳 + WebSearch 광역 활동진흥센터 6곳
# 형식: 이름 | 종류 | 지역 | 대문주소 | 공고주소 | 칸 | 메모

# 서울 (25)
공주시청소년상담복지센터 |  지역거점 |  충남 |  http://www.gj1318.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
보령시청소년상담복지센터 |  지역거점 |  충남 |  https://www.dongmuya.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
아산시청소년상담복지센터 |  지역거점 |  충남 |  http://www.asanyouth.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
서산시청소년상담복지센터 |  지역거점 |  충남 |  https://www.haemaum.com | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
논산시청소년상담복지센터 |  지역거점 |  충남 |  https://www.nsyouth.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
계룡시청소년상담복지센터 |  지역거점 |  충남 |  http://www.call1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 연결 안 됨
당진시청소년상담복지센터 |  지역거점 |  충남 |  http://www.dangjin.go.kr/dj1388.do | |  심리상담 |  시청 하위경로 · 실장 확인 503
금산군청소년상담복지센터 |  지역거점 |  충남 |  https://www.gs1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
부여군청소년상담복지센터 |  지역거점 |  충남 |  https://www.1388buyeo.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
서천군청소년상담복지센터 |  지역거점 |  충남 |  https://www.sycw1388.co.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
청양군청소년상담복지센터 |  지역거점 |  충남 |  https://www.cy1388.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
홍성군청소년상담복지센터 |  지역거점 |  충남 |  https://www.hssd1388.com | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
예산군청소년상담복지센터 |  지역거점 |  충남 |  https://www.yesanyouth.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
태안군청소년상담복지센터 |  지역거점 |  충남 |  https://www.happy1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200

# 전북 (14)
전주시청소년상담복지센터 |  지역거점 |  전북 |  http://www.jjsangdam.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 연결 안 됨
군산시청소년상담복지센터 |  지역거점 |  전북 |  https://www.gunsan0924.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 503
익산시청소년상담복지센터 | 지역거점 | 전북 | | | 심리상담 | CSV 원문 주소 표기 깨짐, 확인 못 함
정읍시청소년상담복지센터 |  지역거점 |  전북 |  https://jeongeup.go.kr | |  심리상담 |  시청 홈페이지, 전용 도메인 아님 · 실장 확인 503
남원시청소년상담복지센터 |  지역거점 |  전북 |  https://www.nw1388.com | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
김제시청소년상담복지센터 |  지역거점 |  전북 |  http://youth.gimje.go.kr | |  심리상담 |  시청 하위 도메인 · 실장 확인 503
완주군청소년상담복지센터 |  지역거점 |  전북 |  http://www.wanju1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
진안군청소년상담복지센터 |  지역거점 |  전북 |  https://www.ja1388.com | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
무주군청소년상담복지센터 |  지역거점 |  전북 |  https://www.mujuyouth.net | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
장수군청소년상담복지센터 | 지역거점 | 전북 | | | 심리상담 | 페이스북 페이지만 있음(공식 홈페이지 없음)
임실군청소년상담복지센터 |  지역거점 |  전북 |  https://cheongmoon.tistory.com | |  심리상담 |  티스토리 블로그, 공식 도메인 아님 · 실장 확인 200
순창군청소년상담복지센터 |  지역거점 |  전북 |  https://www.sc1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 406
고창군청소년상담복지센터 |  지역거점 |  전북 |  https://www.gochang.go.kr | |  심리상담 |  군청 하위경로 · 실장 확인 200
부안군청소년상담복지센터 | 지역거점 | 전북 | | | 심리상담 | 페이스북 페이지만 있음(공식 홈페이지 없음)

# 전남 (22)
목포시청소년상담복지센터 |  지역거점 |  전남 |  http://youth.mokpo.go.kr | |  심리상담 |  시청 하위 도메인 · 실장 확인 503
여수시청소년상담복지센터 |  지역거점 |  전남 |  https://www.ys1388.or.kr | |  심리상담 |  조사 WebFetch 503 · 실장 확인 200
